Gender,Height,Weight,Index,Gender_no
Male,174,96,4,0
Male,189,87,2,0
Male,149,61,3,0
Male,189,104,3,0
Male,147,92,5,0
Male,154,111,5,0
Male,174,90,3,0
Male,195,81,2,0
Male,155,51,2,0
Male,191,79,2,0
Male,140,129,5,0
Male,144,145,5,0
Male,172,139,5,0
Male,157,110,5,0
Male,185,139,5,0
Male,190,95,3,0
Male,187,62,1,0
Male,179,152,5,0
Male,153,121,5,0
Male,178,52,1,0
Male,144,80,4,0
Male,157,56,2,0
Male,161,118,5,0
Male,185,76,2,0
Male,181,111,4,0
Male,161,72,3,0
Male,140,152,5,0
Male,163,110,5,0
Male,172,105,4,0
Male,196,116,4,0
Male,172,92,4,0
Male,178,127,5,0
Male,143,88,5,0
Male,193,54,0,0
Male,190,83,2,0
Male,175,135,5,0
Male,178,117,4,0
Male,141,80,5,0
Male,180,75,2,0
Male,165,104,4,0
Male,181,51,0,0
Male,164,75,3,0
Male,186,118,4,0
Male,168,123,5,0
Male,198,50,0,0
Male,145,117,5,0
Male,177,61,2,0
Male,197,119,4,0
Male,142,69,4,0
Male,160,139,5,0
Male,195,69,1,0
Male,199,156,4,0
Male,154,105,5,0
Male,161,155,5,0
Male,195,126,4,0
Male,166,160,5,0
Male,159,154,5,0
Male,149,66,3,0
Male,190,135,4,0
Male,148,60,3,0
Male,144,108,5,0
Male,187,122,4,0
Male,187,138,4,0
Male,158,96,4,0
Male,194,115,4,0
Male,182,151,5,0
Male,154,54,2,0
Male,194,108,3,0
Male,171,147,5,0
Male,159,124,5,0
Male,180,149,5,0
Male,163,123,5,0
Male,140,79,5,0
Male,197,125,4,0
Male,194,106,3,0
Male,195,98,3,0
Male,140,52,3,0
Male,168,160,5,0
Male,181,105,4,0
Male,199,99,2,0
Male,192,101,3,0
Male,181,78,2,0
Male,176,109,4,0
Male,187,136,4,0
Male,174,138,5,0
Male,167,151,5,0
Male,197,149,4,0
Male,188,100,3,0
Male,177,117,4,0
Male,162,97,4,0
Male,180,73,2,0
Male,165,80,3,0
Male,158,95,4,0
Male,141,85,5,0
Male,154,100,5,0
Male,165,105,4,0
Male,141,94,5,0
Male,145,108,5,0
Male,157,74,4,0
Male,193,151,5,0
Male,184,57,1,0
Male,179,93,3,0
Male,182,104,4,0
Male,145,160,5,0
Male,145,99,5,0
Male,191,96,3,0
Male,148,155,5,0
Male,159,109,5,0
Male,183,138,5,0
Male,178,140,5,0
Male,188,54,0,0
Male,166,70,3,0
Male,188,123,4,0
Male,179,130,5,0
Male,145,78,4,0
Male,170,81,3,0
Male,181,141,5,0
Male,165,155,5,0
Male,178,85,3,0
Male,166,61,2,0
Male,191,62,1,0
Male,151,114,5,0
Male,182,98,3,0
Male,161,89,4,0
Male,153,70,3,0
Male,140,143,5,0
Male,169,141,5,0
Male,183,147,5,0
Male,159,104,5,0
Male,163,131,5,0
Male,156,137,5,0
Male,147,84,4,0
Male,141,86,5,0
Male,173,139,5,0
Male,154,145,5,0
Male,168,148,5,0
Male,168,50,1,0
Male,145,130,5,0
Male,152,103,5,0
Male,178,83,3,0
Male,190,80,2,0
Male,172,75,3,0
Male,188,57,1,0
Male,193,65,1,0
Male,166,107,4,0
Male,181,139,4,0
Male,150,74,4,0
Male,178,160,5,0
Male,149,100,5,0
Male,156,74,4,0
Male,183,105,3,0
Male,160,156,5,0
Male,151,82,4,0
Male,182,108,4,0
Male,188,81,2,0
